Parameter,Time point,Value,Participant,Experiment
Breathing rate (BPM),rest,24.508,Participant 3,High Impact w/ slow tempo
Breathing rate (BPM),30 secs,25.243,Participant 3,High Impact w/ slow tempo
Breathing rate (BPM),60 secs,25.982,Participant 3,High Impact w/ slow tempo
Breathing rate (BPM),90 secs,26.894,Participant 3,High Impact w/ slow tempo
Breathing rate (BPM),120 secs,26.742,Participant 3,High Impact w/ slow tempo
Breathing Volume (L),rest,0.271,Participant 3,High Impact w/ slow tempo
Breathing Volume (L),30 secs,0.349,Participant 3,High Impact w/ slow tempo
Breathing Volume (L),60 secs,0.623,Participant 3,High Impact w/ slow tempo
Breathing Volume (L),90 secs,0.8292,Participant 3,High Impact w/ slow tempo
Breathing Volume (L),120 secs,0.8446,Participant 3,High Impact w/ slow tempo
Respiratory Volume,rest,6.641668,Participant 3,High Impact w/ slow tempo
Respiratory Volume,30 secs,8.809807,Participant 3,High Impact w/ slow tempo
Respiratory Volume,60 secs,16.186786,Participant 3,High Impact w/ slow tempo
Respiratory Volume,90 secs,22.300505,Participant 3,High Impact w/ slow tempo
Respiratory Volume,120 secs,22.586293,Participant 3,High Impact w/ slow tempo
Heart rate (BPM),return,70,Participant 3,High Impact w/ slow tempo
Time to baseline,return,420,Participant 3,High Impact w/ slow tempo
Heart rate (BPM),rest,91,Participant 4,High Impact w/ slow tempo
Heart rate (BPM),30 secs,142,Participant 4,High Impact w/ slow tempo
Heart rate (BPM),60 secs,133,Participant 4,High Impact w/ slow tempo
Heart rate (BPM),90 secs,150,Participant 4,High Impact w/ slow tempo
Heart rate (BPM),120 secs,166,Participant 4,High Impact w/ slow tempo
Breathing rate (BPM),rest,11.887,Participant 4,High Impact w/ slow tempo
Breathing rate (BPM),30 secs,37.87,Participant 4,High Impact w/ slow tempo
Breathing rate (BPM),60 secs,17.931,Participant 4,High Impact w/ slow tempo
Breathing rate (BPM),90 secs,18.174,Participant 4,High Impact w/ slow tempo
Breathing rate (BPM),120 secs,19.119,Participant 4,High Impact w/ slow tempo
Breathing Volume (L),rest,0.353,Participant 4,High Impact w/ slow tempo
Breathing Volume (L),30 secs,0.2101,Participant 4,High Impact w/ slow tempo
Breathing Volume (L),60 secs,0.391,Participant 4,High Impact w/ slow tempo
Breathing Volume (L),90 secs,0.446,Participant 4,High Impact w/ slow tempo
Breathing Volume (L),120 secs,0.478,Participant 4,High Impact w/ slow tempo
Respiratory Volume,rest,4.196111,Participant 4,High Impact w/ slow tempo
Respiratory Volume,30 secs,7.956487,Participant 4,High Impact w/ slow tempo
Respiratory Volume,60 secs,7.011021,Participant 4,High Impact w/ slow tempo
Respiratory Volume,90 secs,8.105604,Participant 4,High Impact w/ slow tempo
Respiratory Volume,120 secs,9.138882,Participant 4,High Impact w/ slow tempo
Heart rate (BPM),return,94,Participant 4,High Impact w/ slow tempo
Time to baseline,return,260,Participant 4,High Impact w/ slow tempo
Heart rate (BPM),rest,63,Participant 1,High Impact w/ fast tempo
Heart rate (BPM),30s,117,Participant 1,High Impact w/ fast tempo
Heart rate (BPM),60s,120,Participant 1,High Impact w/ fast tempo
Heart rate (BPM),90s,140,Participant 1,High Impact w/ fast tempo
Heart rate (BPM),120s,146,Participant 1,High Impact w/ fast tempo
Breathing rate (BPM),rest,19.585,Participant 1,High Impact w/ fast tempo
Breathing rate (BPM),30s,27.518,Participant 1,High Impact w/ fast tempo
Breathing rate (BPM),60s,25.147,Participant 1,High Impact w/ fast tempo
Breathing rate (BPM),90s,23.895,Participant 1,High Impact w/ fast tempo
Breathing rate (BPM),120s,27.677,Participant 1,High Impact w/ fast tempo
Breathing Volume (L),rest,0.415,Participant 1,High Impact w/ fast tempo
Breathing Volume (L),30s,1.107,Participant 1,High Impact w/ fast tempo
Breathing Volume (L),60s,1.118,Participant 1,High Impact w/ fast tempo
Breathing Volume (L),90s,1.062,Participant 1,High Impact w/ fast tempo
Breathing Volume (L),120s,0.998,Participant 1,High Impact w/ fast tempo
Respiratory Volume,rest,8.127775,Participant 1,High Impact w/ fast tempo
Respiratory Volume,30s,30.462426,Participant 1,High Impact w/ fast tempo
Respiratory Volume,60s,28.114346,Participant 1,High Impact w/ fast tempo
Respiratory Volume,90s,25.37649,Participant 1,High Impact w/ fast tempo
Respiratory Volume,120s,27.621646,Participant 1,High Impact w/ fast tempo
Heart rate (BPM),return,73,Participant 1,High Impact w/ fast tempo
Time to baseline,return,105,Participant 1,High Impact w/ fast tempo
Heart rate (BPM),rest,95,Participant 2,High Impact w/ fast tempo
Heart rate (BPM),30s,144,Participant 2,High Impact w/ fast tempo
Heart rate (BPM),60s,172,Participant 2,High Impact w/ fast tempo
Heart rate (BPM),90s,178,Participant 2,High Impact w/ fast tempo
Heart rate (BPM),120s,171,Participant 2,High Impact w/ fast tempo
Breathing rate (BPM),rest,10.017,Participant 2,High Impact w/ fast tempo
Breathing rate (BPM),30s,19.013,Participant 2,High Impact w/ fast tempo
Breathing rate (BPM),60s,24.716,Participant 2,High Impact w/ fast tempo
Breathing rate (BPM),90s,23.806,Participant 2,High Impact w/ fast tempo
Breathing rate (BPM),120s,24.873,Participant 2,High Impact w/ fast tempo
Breathing Volume (L),rest,0.192,Participant 2,High Impact w/ fast tempo
Breathing Volume (L),30s,0.762,Participant 2,High Impact w/ fast tempo
Breathing Volume (L),60s,0.997,Participant 2,High Impact w/ fast tempo
Breathing Volume (L),90s,1.189,Participant 2,High Impact w/ fast tempo
Breathing Volume (L),120s,0.842,Participant 2,High Impact w/ fast tempo
Respiratory Volume,rest,1.923264,Participant 2,High Impact w/ fast tempo
Respiratory Volume,30s,14.487906,Participant 2,High Impact w/ fast tempo
Respiratory Volume,60s,24.641852,Participant 2,High Impact w/ fast tempo
Respiratory Volume,90s,28.305334,Participant 2,High Impact w/ fast tempo
Respiratory Volume,120s,20.943066,Participant 2,High Impact w/ fast tempo
Heart rate (BPM),return,98,Participant 2,High Impact w/ fast tempo
Time to baseline,return,303,Participant 2,High Impact w/ fast tempo
Heart rate (BPM),rest,94,Participant 3,High Impact w/ fast tempo
Heart rate (BPM),30s,143,Participant 3,High Impact w/ fast tempo
Heart rate (BPM),60s,153,Participant 3,High Impact w/ fast tempo
Heart rate (BPM),90s,160,Participant 3,High Impact w/ fast tempo
Heart rate (BPM),120s,167,Participant 3,High Impact w/ fast tempo
Breathing rate (BPM),rest,22.538,Participant 3,High Impact w/ fast tempo
Breathing rate (BPM),30s,24.628,Participant 3,High Impact w/ fast tempo
